feature,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significant,sig_level,abs_coefficient
intercept,6.4232484753657735,0.11819355295031854,54.345167862630554,2.308639695094757e-264,6.191224830999417,6.65527211973213,True,***,6.4232484753657735
card_special,2.864574253876091,0.05571893725287342,51.41114305313433,6.29149952357494e-250,2.7551934072992372,2.9739551004529448,True,***,2.864574253876091
card_icons_heroes,2.6050423956276334,0.09519113156612936,27.36644005348238,2.2195596698004412e-115,2.418174392204346,2.791910399050921,True,***,2.6050423956276334
league_premier_league,1.027882334042578,0.07773519206233166,13.222869935387495,4.389796267648213e-36,0.8752817724417074,1.1804828956434488,True,***,1.027882334042578
card_gold,0.9536318258620404,0.05915584698777147,16.120668951949458,1.5871588322492866e-50,0.8375040434147974,1.0697596083092833,True,***,0.9536318258620404
rating,0.947370799734627,0.049052348309968206,19.313464744808282,5.905826810207411e-68,0.8510770143672414,1.0436645851020128,True,***,0.947370799734627
league_laliga_ea_sports,0.9059924683355327,0.09071110916470107,9.987668287580444,3.704288551822577e-22,0.7279191165533481,1.0840658201177173,True,***,0.9059924683355327
league_bundesliga,0.8760587194819627,0.11118409723749385,7.879352724433827,1.1357095131677058e-14,0.6577952119328638,1.0943222270310615,True,***,0.8760587194819627
nat_brazil,0.8372203415514625,0.11123918485745252,7.5263077720707745,1.4750330690604116e-13,0.6188486924834464,1.0555919906194786,True,***,0.8372203415514625
league_serie_a_tim,0.7959905427575027,0.09775594243697831,8.142630748720622,1.5765359683903492e-15,0.6040876051054848,0.9878934804095206,True,***,0.7959905427575027
nat_portugal,0.7956202610524146,0.12510619706126697,6.359559156472351,3.48587923375237e-10,0.5500265289884316,1.0412139931163975,True,***,0.7956202610524146
nat_france,0.7946577037670912,0.08478483332810155,9.372639805658562,7.851834469775479e-20,0.628218117810578,0.9610972897236044,True,***,0.7946577037670912
league_ligue_1_mcdonalds,0.7176382937639402,0.11977754016193339,5.991426212240861,3.206257990482789e-09,0.4825051525063019,0.9527714350215785,True,***,0.7176382937639402
nat_netherlands,0.7070248979558238,0.10429007165513833,6.7794075383683845,2.4187634648596144e-11,0.5022949284047357,0.9117548675069119,True,***,0.7070248979558238
nat_italy,0.6717566394460043,0.11626399106604675,5.777856353343278,1.1024454442854227e-08,0.4435208834140255,0.899992395477983,True,***,0.6717566394460043
league_icons,0.6168916273750066,0.286862535681376,2.1504781930122814,0.031831349251813024,0.05375692755813788,1.1800263271918752,True,*,0.6168916273750066
league_liga_f,0.6077556883406633,0.1386995585004228,4.3818141521972525,1.341911374179833e-05,0.33547707218974737,0.8800343044915793,True,***,0.6077556883406633
nat_spain,0.5868648966540305,0.09393232089309968,6.24774189623097,6.92199636891657e-10,0.402468041890149,0.7712617514179121,True,***,0.5868648966540305
nat_argentina,0.5146818015868297,0.13930747412197922,3.694574213126343,0.0002360090979118969,0.24120979718029506,0.7881538059933644,True,***,0.5146818015868297
league_barclays_wsl,0.46273615696360104,0.11314274829397172,4.089843705769836,4.7759184378517135e-05,0.24062765664778984,0.6848446572794122,True,***,0.46273615696360104
nat_england,0.4551894300367167,0.08786773675708087,5.18039324598895,2.8372033407959007e-07,0.2826978516409713,0.6276810084324621,True,***,0.4551894300367167
pace,0.4162608484424582,0.043087723210727326,9.660776142816102,6.593846720082872e-21,0.33167611165056154,0.5008455852343549,True,***,0.4162608484424582
league_other,0.4123026443049848,0.06917391152195616,5.960377767189264,3.846052436831727e-09,0.27650857901322895,0.5480967095967406,True,***,0.4123026443049848
nat_other,0.3962874108237757,0.0558073285271302,7.100992311988638,2.8430804897716423e-12,0.2867330449214486,0.5058417767261029,True,***,0.3962874108237757
nat_germany,0.34805340364121384,0.09758195381074869,3.566780434794652,0.0003839705679511614,0.15649201994140732,0.5396147873410204,True,***,0.34805340364121384
num_playstyles_plus,0.33427998938293396,0.03990937355742677,8.375976859219017,2.6215384479918893e-16,0.255934613801706,0.4126253649641619,True,***,0.33427998938293396
