url,price
https://www.futbin.com/26/player/18822/ginola,1384000
https://www.futbin.com/26/player/19895/debora-c-de-oliveira,150000
https://www.futbin.com/26/player/19918/federico-valverde,1450000
https://www.futbin.com/26/player/19974/florian-wirtz,635000
https://www.futbin.com/26/player/20202/mascherano,187000
https://www.futbin.com/26/player/20203/di-natale,1170000
https://www.futbin.com/26/player/20221/debora-c-de-oliveira,459000
https://www.futbin.com/26/player/20222/joshua-kimmich,150000
https://www.futbin.com/26/player/20337/maria-francesca-caldentey-oliver,91000
https://www.futbin.com/26/player/20354/sneijder,369000
https://www.futbin.com/26/player/20355/dos-santos-futre,1015000
https://www.futbin.com/26/player/20401/hazard,2010000
https://www.futbin.com/26/player/20402/simone-laudehr,139000
https://www.futbin.com/26/player/20413/lamine-yamal-nasraoui-ebana,2048000
https://www.futbin.com/26/player/20525/ewa-pajor,408000
https://www.futbin.com/26/player/20527/cristiano-ronaldo-dos-santos-aveiro,1260000
https://www.futbin.com/26/player/32/bukayo-saka,15250
https://www.futbin.com/26/player/42/gabriel-dos-s-magalhaes,14750
https://www.futbin.com/26/player/46/jamal-musiala,15250
https://www.futbin.com/26/player/60/lautaro-martinez,15000
https://www.futbin.com/26/player/63/robert-lewandowski,16500
https://www.futbin.com/26/player/74/sophia-wilson,22250
https://www.futbin.com/26/player/90/guro-reiten,15250
https://www.futbin.com/26/player/99/ewa-pajor,16000
https://www.futbin.com/26/player/110/irene-paredes-hernandez,17000
https://www.futbin.com/26/player/116/debora-c-de-oliveira,15250
https://www.futbin.com/26/player/132/kadidiatou-diani,15750
https://www.futbin.com/26/player/137/marie-katoto,15250
https://www.futbin.com/26/player/18762/owen,200000
https://www.futbin.com/26/player/18763/gerrard,221000
https://www.futbin.com/26/player/18764/chiellini,689000
https://www.futbin.com/26/player/18766/shevchenko,157000
https://www.futbin.com/26/player/18767/rooney,570000
https://www.futbin.com/26/player/18768/koeman,148000
https://www.futbin.com/26/player/18769/beckham,215000
